ID	Pathogen	Pathogen Taxonomy	Source	Taxonomy ID	Transmission Method	Host/Reservoir	Taxonomy ID	Disease	Anatomy	Symptoms/Documentation/Attributes
TI:0000422	Burkholderia pseudomallei	28450	air		indirect: airborne	Halichoerus grypus	9711	Melioidosis	unknown	PMID:10860161,PMID:15525357
TI:0000421	Burkholderia pseudomallei	28450	unknown		unknown	Zalophus californianus	9704	Melioidosis	kidney	PMID:10860161
TI:0000420	Burkholderia pseudomallei	28450	unknown		unknown	Zalophus californianus	9704	Melioidosis	lymph node	PMID:10860161
TI:0000419	Burkholderia pseudomallei	28450	unknown		unknown	Zalophus californianus	9704	Melioidosis	lung	PMID:10860161
TI:0000418	Burkholderia pseudomallei	28450	unknown		unknown	Zalophus californianus	9704	Melioidosis	spleen	PMID:10860161
TI:0000417	Burkholderia pseudomallei	28450	unknown		unknown	Zalophus californianus	9704	Melioidosis	liver	PMID:10860161
TI:0000416	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Zalophus californianus	9704	Melioidosis	digestive system	PMID:10860161,PMID:15525357
TI:0000415	Burkholderia pseudomallei	28450	air		indirect: airborne	Zalophus californianus	9704	Melioidosis	unknown	PMID:10860161,PMID:15525357
TI:0000414	Burkholderia pseudomallei	28450	unknown		unknown	Lagenorhynchus obliquidens	90247	Melioidosis	kidney	PMID:10860161
TI:0000413	Burkholderia pseudomallei	28450	unknown		unknown	Lagenorhynchus obliquidens	90247	Melioidosis	lymph node	PMID:10860161
TI:0000412	Burkholderia pseudomallei	28450	unknown		unknown	Lagenorhynchus obliquidens	90247	Melioidosis	lung	PMID:10860161
TI:0000411	Burkholderia pseudomallei	28450	unknown		unknown	Lagenorhynchus obliquidens	90247	Melioidosis	spleen	PMID:10860161
TI:0000410	Burkholderia pseudomallei	28450	unknown		unknown	Lagenorhynchus obliquidens	90247	Melioidosis	liver	PMID:10860161
TI:0000409	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Lagenorhynchus obliquidens	90247	Melioidosis	digestive system	PMID:10860161,PMID:15525357
TI:0000408	Burkholderia pseudomallei	28450	air		indirect: airborne	Lagenorhynchus obliquidens	90247	Melioidosis	unknown	PMID:10860161,PMID:15525357
TI:0000407	Burkholderia pseudomallei	28450	unknown		unknown	Pseudorca crassidens	82174	Melioidosis	kidney	PMID:10860161
TI:0000406	Burkholderia pseudomallei	28450	unknown		unknown	Pseudorca crassidens	82174	Melioidosis	lymph node	PMID:10860161
TI:0000405	Burkholderia pseudomallei	28450	unknown		unknown	Pseudorca crassidens	82174	Melioidosis	lung	PMID:10860161
TI:0000404	Burkholderia pseudomallei	28450	unknown		unknown	Pseudorca crassidens	82174	Melioidosis	spleen	PMID:10860161
TI:0000403	Burkholderia pseudomallei	28450	unknown		unknown	Pseudorca crassidens	82174	Melioidosis	liver	PMID:10860161
TI:0000402	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Pseudorca crassidens	82174	Melioidosis	digestive system	PMID:10860161,PMID:15525357
TI:0000401	Burkholderia pseudomallei	28450	air		indirect: airborne	Pseudorca crassidens	82174	Melioidosis	unknown	PMID:10860161,PMID:15525357
